Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,167.600006,168.000000,164.699997,165.800003,156.356491,651590
2021-09-09,166.000000,169.899994,165.300003,169.600006,159.940048,1303348
2021-09-10,170.199997,174.500000,169.600006,171.199997,161.448914,2077156
2021-09-13,171.600006,171.899994,168.800003,170.000000,160.317276,601992
2021-09-14,170.300003,170.699997,167.399994,168.800003,159.185623,893039
2021-09-15,168.199997,170.699997,166.399994,166.399994,156.922318,996220
2021-09-16,166.899994,169.500000,165.199997,167.300003,157.771057,1061129
2021-09-17,168.000000,168.600006,165.600006,166.100006,156.639404,891028
2021-09-20,165.300003,166.500000,162.899994,165.199997,155.790665,760355
2021-09-21,166.000000,167.100006,160.100006,160.100006,150.981155,1099442
2021-09-22,160.399994,162.399994,159.500000,162.300003,153.055832,674337
2021-09-23,161.800003,164.199997,160.500000,162.600006,153.338760,970880
2021-09-24,161.699997,161.800003,159.699997,159.800003,150.698227,668649
2021-09-27,160.800003,164.199997,160.000000,161.699997,152.490005,1107252
2021-09-28,161.699997,163.800003,159.899994,159.899994,150.792526,718946
2021-09-29,161.500000,162.800003,160.800003,161.000000,151.829880,797383
2021-09-30,161.000000,167.199997,161.000000,167.100006,157.582443,1632962
2021-10-01,166.800003,166.800003,162.300003,162.699997,153.433060,1307468
2021-10-04,162.899994,163.699997,160.000000,160.000000,150.886841,967579
2021-10-05,160.300003,160.300003,155.199997,155.199997,146.360229,1194218
2021-10-06,155.300003,156.100006,152.000000,152.000000,143.342499,1137062
2021-10-07,153.000000,156.300003,153.000000,153.699997,144.945663,1563378
2021-10-08,154.000000,156.300003,153.300003,154.300003,145.511490,1030693
2021-10-11,154.399994,162.100006,154.399994,161.399994,152.207092,1941583
2021-10-12,161.199997,163.600006,160.500000,161.500000,152.301407,2174609
2021-10-13,162.899994,177.600006,162.500000,177.600006,167.484390,9554733
2021-10-14,177.899994,181.399994,169.199997,170.300003,160.600174,6887802
2021-10-15,171.300003,173.699997,165.399994,165.399994,155.979263,3445538
2021-10-18,165.699997,168.199997,165.000000,166.399994,156.922318,2279896
2021-10-19,167.500000,174.699997,167.500000,170.199997,160.505875,5144363
2021-10-20,171.399994,177.399994,169.199997,176.800003,166.729965,3922432
